version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 56 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 52.93.29.1 10.0.0.7 0 0 1 1 56 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 240.0.28.21 10.0.0.7 0 0 1 1 88 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 216.182.226.154 10.0.0.7 0 0 1 1 56 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 88 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 240.0.44.12 10.0.0.7 0 0 1 1 88 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 88 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 99.82.181.23 10.0.0.7 0 0 1 1 56 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 88 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 52791 33447 17 1 60 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 56 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 39070 33438 17 1 60 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 47840 33456 17 1 60 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 27583 33456 17 1 60 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 2 112 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 108.170.246.1 10.0.0.7 0 0 1 1 88 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 56 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 56 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 36839 33471 17 1 60 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 96 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 88 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 34125 33471 17 1 60 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 56704 33460 17 1 60 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 28684 33454 17 1 60 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 100.66.11.210 10.0.0.7 0 0 1 1 56 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 52.93.28.233 10.0.0.7 0 0 1 1 56 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 56 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 88 1621804407 1621804419 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 88 1621804407 1621804419 ACCEPT OK
